event_id,target_date,window_id,rolling_step,radius_km,naive_radius_km,candidate_count,model_candidate_count,naive_candidate_count,model_alert_count,naive_alert_count,model_true_alert_count,naive_true_alert_count,model_precision,naive_precision,alert_reduction_vs_naive,dropped_previous_alerts,dropped_previous_2km_alerts,ap,auc,fixed_3day_naive_alert_count,fixed_3day_naive_true_alert_count,fixed_3day_naive_precision,final_day_model_alert_count,final_day_model_true_alert_count,final_day_model_precision,final_day_alert_reduction_vs_fixed_naive
fire_24025610,2020-06-08,fire_24025610_2020-06-08_2020-06-10,0,2.0,4.0,515,134,449,12,449,1,2,0.08333333333333333,0.004454342984409799,0.9732739420935412,0,0,0.15,0.9318181818181818,,,,,,,
fire_24025610,2020-06-09,fire_24025610_2020-06-08_2020-06-10,1,3.0,4.0,507,261,441,1,441,1,2,1.0,0.0045351473922902496,0.9977324263038548,12,12,0.5833333333333334,0.9806949806949806,,,,,,,
fire_24025610,2020-06-10,fire_24025610_2020-06-08_2020-06-10,2,4.0,4.0,462,396,396,0,396,0,4,0.0,0.010101010101010102,1.0,1,1,0.16420454545454544,0.9630102040816326,449.0,1.0,0.0022271714922048997,0.0,0.0,0.0,1.0
fire_24025610,2020-06-09,fire_24025610_2020-06-09_2020-06-11,0,2.0,4.0,507,129,441,1,441,1,2,1.0,0.0045351473922902496,0.9977324263038548,0,0,0.5833333333333334,0.9606299212598426,,,,,,,
fire_24025610,2020-06-10,fire_24025610_2020-06-09_2020-06-11,1,3.0,4.0,462,228,396,0,396,0,4,0.0,0.010101010101010102,1.0,1,1,0.16420454545454544,0.9352678571428571,,,,,,,
fire_24025610,2020-06-11,fire_24025610_2020-06-09_2020-06-11,2,4.0,4.0,477,411,411,1,411,0,0,0.0,0.0,0.9975669099756691,0,0,,,441.0,0.0,0.0,1.0,0.0,0.0,0.9977324263038548
fire_24027563,2020-05-23,fire_24027563_2020-05-23_2020-05-26,0,2.0,4.0,870,226,804,0,804,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-24,fire_24027563_2020-05-23_2020-05-26,1,3.0,4.0,858,456,792,0,792,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-26,fire_24027563_2020-05-23_2020-05-26,2,4.0,4.0,462,396,396,0,396,0,0,0.0,0.0,1.0,0,0,,,804.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24027563,2020-05-24,fire_24027563_2020-05-24_2020-05-27,0,2.0,4.0,858,216,792,0,792,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-26,fire_24027563_2020-05-24_2020-05-27,1,3.0,4.0,462,228,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-27,fire_24027563_2020-05-24_2020-05-27,2,4.0,4.0,462,396,396,0,396,0,0,0.0,0.0,1.0,0,0,,,792.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24027563,2020-05-26,fire_24027563_2020-05-26_2020-05-28,0,2.0,4.0,462,108,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-27,fire_24027563_2020-05-26_2020-05-28,1,3.0,4.0,462,228,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-28,fire_24027563_2020-05-26_2020-05-28,2,4.0,4.0,457,391,391,0,391,0,0,0.0,0.0,1.0,0,0,,,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24027563,2020-05-27,fire_24027563_2020-05-27_2020-05-29,0,2.0,4.0,462,108,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-28,fire_24027563_2020-05-27_2020-05-29,1,3.0,4.0,457,223,391,0,391,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24027563,2020-05-29,fire_24027563_2020-05-27_2020-05-29,2,4.0,4.0,462,396,396,0,396,0,0,0.0,0.0,1.0,0,0,,,396.0,0.0,0.0,0.0,0.0,0.0,1.0
